EBFFFBAL_00003	K07478
EBFFFBAL_01652	K04042
EBFFFBAL_01654	K01489
EBFFFBAL_01657	K11390
EBFFFBAL_01663	K05901
EBFFFBAL_01664	K09386
EBFFFBAL_01666	K03519
EBFFFBAL_01667	K03518
EBFFFBAL_01669	K02381
EBFFFBAL_01685	K07321
EBFFFBAL_01688	K00951
EBFFFBAL_01689	K03750
EBFFFBAL_01694	K10188
EBFFFBAL_01706	K06187
EBFFFBAL_01708	K02343
EBFFFBAL_01721	K01739
EBFFFBAL_01722	K00928
EBFFFBAL_01723	K00133
EBFFFBAL_01730	K22015
EBFFFBAL_01732	K00335
EBFFFBAL_01748	K01755
EBFFFBAL_01749	K01940
EBFFFBAL_01755	K08226
EBFFFBAL_01757	K01537
EBFFFBAL_01758	K00031
EBFFFBAL_01761	K00239
EBFFFBAL_01762	K00240
EBFFFBAL_01767	K02026
EBFFFBAL_01769	K02027
EBFFFBAL_01771	K00820
EBFFFBAL_01772	K03569
EBFFFBAL_01773	K03570
EBFFFBAL_01776	K03610
EBFFFBAL_01777	K03609
EBFFFBAL_01780	K01886
EBFFFBAL_01784	K07442
EBFFFBAL_01786	K00566
EBFFFBAL_01787	K04487
EBFFFBAL_01789	K03424
EBFFFBAL_01790	K00805
EBFFFBAL_01793	K07695
EBFFFBAL_01797	K06973
EBFFFBAL_01800	K18551
EBFFFBAL_01802	K03709
EBFFFBAL_01803	K00850
EBFFFBAL_01805	K01848
EBFFFBAL_01808	K05366
EBFFFBAL_01819	K01734
EBFFFBAL_01820	K01011
EBFFFBAL_01821	K20812
EBFFFBAL_01824	K04564
EBFFFBAL_01829	K02990
EBFFFBAL_01831	K07050
EBFFFBAL_01839	K03088
EBFFFBAL_01844	K01972
EBFFFBAL_01846	K06969
EBFFFBAL_01851	K14085
EBFFFBAL_01852	K07098
EBFFFBAL_01858	K01892
EBFFFBAL_01865	K05896
EBFFFBAL_01873	K07315
EBFFFBAL_01874	K04757
EBFFFBAL_01882	K06024
EBFFFBAL_01883	K06178
EBFFFBAL_01885	K01903
EBFFFBAL_01886	K01902
EBFFFBAL_01888	K01823
EBFFFBAL_01889	K13787
EBFFFBAL_01892	K01647
EBFFFBAL_01893	K00024
EBFFFBAL_01894	K00384
EBFFFBAL_01895	K02040
EBFFFBAL_01896	K02037
EBFFFBAL_01897	K02038
EBFFFBAL_01910	K08999
EBFFFBAL_01911	K02314
EBFFFBAL_01913	K10762
EBFFFBAL_01914	K07137
EBFFFBAL_01915	K02012
EBFFFBAL_01916	K02011
EBFFFBAL_01917	K02010
EBFFFBAL_01918	K02039
EBFFFBAL_01921	K02548
EBFFFBAL_01939	K17686
EBFFFBAL_01942	K21600
EBFFFBAL_01947	K00034
EBFFFBAL_01950	K01495
EBFFFBAL_01951	K05808
EBFFFBAL_01952	K02242
EBFFFBAL_01953	K12511
EBFFFBAL_01954	K12510
EBFFFBAL_01955	K02283
EBFFFBAL_01957	K07493
EBFFFBAL_01959	K02028
EBFFFBAL_01960	K02029
EBFFFBAL_01961	K02030
EBFFFBAL_01969	K22408
EBFFFBAL_01973	K03639
EBFFFBAL_01976	K00208
EBFFFBAL_01982	K00655
EBFFFBAL_01985	K01890
EBFFFBAL_01996	K13038
EBFFFBAL_01999	K03525
EBFFFBAL_02000	K01918
EBFFFBAL_02001	K00077
EBFFFBAL_02002	K00606
EBFFFBAL_02007	K06416
EBFFFBAL_02008	K15519
EBFFFBAL_02010	K02338
EBFFFBAL_02014	K06001
EBFFFBAL_02021	K00287
EBFFFBAL_02022	K00560
EBFFFBAL_02023	K11753
EBFFFBAL_02024	K03177
EBFFFBAL_02027	K02519
EBFFFBAL_02029	K02600
EBFFFBAL_02031	K00974
EBFFFBAL_02032	K20074
EBFFFBAL_02035	K03208
EBFFFBAL_02036	K07284
EBFFFBAL_02039	K04066
EBFFFBAL_02053	K01990
EBFFFBAL_02070	K02007
EBFFFBAL_02072	K02006
EBFFFBAL_02073	K00789
EBFFFBAL_02076	K09903
EBFFFBAL_02078	K02967
EBFFFBAL_02080	K02469
EBFFFBAL_02081	K01488
EBFFFBAL_02082	K02057
EBFFFBAL_02083	K02057
EBFFFBAL_02084	K02056
EBFFFBAL_02089	K11085
EBFFFBAL_02092	K00014
EBFFFBAL_02094	K01735
EBFFFBAL_02097	K06959
EBFFFBAL_02099	K06208
EBFFFBAL_02100	K03856
EBFFFBAL_02102	K10206
EBFFFBAL_02103	K05359
EBFFFBAL_02104	K02647
EBFFFBAL_02106	K01687
EBFFFBAL_02107	K01652
EBFFFBAL_02108	K01653
EBFFFBAL_02109	K00053
EBFFFBAL_02110	K01649
EBFFFBAL_02111	K01703
EBFFFBAL_02113	K01649
EBFFFBAL_02114	K00052
EBFFFBAL_02116	K02034
EBFFFBAL_02117	K02033
EBFFFBAL_02118	K02035
EBFFFBAL_02119	K02032
EBFFFBAL_02120	K15583
EBFFFBAL_02130	K07095
EBFFFBAL_02148	K03698
EBFFFBAL_02152	K21743
EBFFFBAL_02157	K00012
EBFFFBAL_02159	K01712
EBFFFBAL_02168	K00382
EBFFFBAL_02175	K12583
EBFFFBAL_02180	K03575
EBFFFBAL_02183	K19971
EBFFFBAL_02184	K11607
EBFFFBAL_02185	K11606
EBFFFBAL_02188	K01990
EBFFFBAL_02190	K18979
EBFFFBAL_02193	K06945
EBFFFBAL_02200	K02034
EBFFFBAL_02201	K02033
EBFFFBAL_02202	K02035
EBFFFBAL_02203	K02479
EBFFFBAL_02205	K01992
EBFFFBAL_02206	K01990
EBFFFBAL_02212	K04656
EBFFFBAL_02214	K04654
EBFFFBAL_02215	K04655
EBFFFBAL_02218	K03388
EBFFFBAL_02220	K14128
EBFFFBAL_02231	K07674
EBFFFBAL_02235	K00370
EBFFFBAL_02239	K02575
EBFFFBAL_02243	K02635
EBFFFBAL_02250	K19689
EBFFFBAL_02253	K02041
EBFFFBAL_02254	K02044
EBFFFBAL_02256	K11754
EBFFFBAL_02259	K07124
EBFFFBAL_02261	K02469
EBFFFBAL_02269	K02687
EBFFFBAL_02270	K03686
EBFFFBAL_02272	K03687
EBFFFBAL_02273	K03705
EBFFFBAL_02277	K02056
EBFFFBAL_02278	K02057
EBFFFBAL_02288	K02056
EBFFFBAL_02291	K03703
EBFFFBAL_02305	K02939
EBFFFBAL_02307	K14441
EBFFFBAL_02310	K03628
EBFFFBAL_02311	K01515
EBFFFBAL_02325	K07681
EBFFFBAL_02330	K00184
EBFFFBAL_02332	K02446
EBFFFBAL_02333	K00981
EBFFFBAL_02334	K00806
EBFFFBAL_02335	K02838
EBFFFBAL_02339	K00819
EBFFFBAL_02340	K00611
EBFFFBAL_02344	K01849
EBFFFBAL_02345	K07588
EBFFFBAL_02348	K10563
EBFFFBAL_02361	K01870
EBFFFBAL_02364	K01775
EBFFFBAL_02366	K01497
EBFFFBAL_02367	K03101
EBFFFBAL_02368	K06180
EBFFFBAL_02369	K01620
EBFFFBAL_02371	K03783
EBFFFBAL_02384	K00772
EBFFFBAL_02386	K17987
EBFFFBAL_02391	K07642
EBFFFBAL_02397	K03702
EBFFFBAL_02401	K01495
EBFFFBAL_02402	K06902
EBFFFBAL_02442	K00240
EBFFFBAL_02446	K13811
EBFFFBAL_02455	K00639
EBFFFBAL_02460	K03977
EBFFFBAL_02461	K03100
EBFFFBAL_02473	K05349
EBFFFBAL_02477	K01992
EBFFFBAL_02479	K01990
EBFFFBAL_02480	K00851
EBFFFBAL_02481	K01223
EBFFFBAL_02491	K03928
EBFFFBAL_02497	K09022
EBFFFBAL_02498	K07658
EBFFFBAL_02502	K19421
EBFFFBAL_02503	K11693
EBFFFBAL_02505	K01505
EBFFFBAL_02509	K00887
EBFFFBAL_02510	K07042
EBFFFBAL_02511	K07037
EBFFFBAL_02512	K09117
EBFFFBAL_02513	K02503
EBFFFBAL_02514	K03924
EBFFFBAL_02520	K16329
EBFFFBAL_02521	K16328
EBFFFBAL_02526	K09967
EBFFFBAL_02536	K17218
EBFFFBAL_02537	K22298
EBFFFBAL_02539	K00285
EBFFFBAL_02547	K07071
EBFFFBAL_02556	K00606
EBFFFBAL_02559	K07304
EBFFFBAL_02561	K00694
EBFFFBAL_02564	K03043
EBFFFBAL_02565	K02950
EBFFFBAL_02566	K02992
EBFFFBAL_02572	K00801
EBFFFBAL_02573	K21401
EBFFFBAL_02574	K01409
EBFFFBAL_02578	K01733
EBFFFBAL_02582	K07566
EBFFFBAL_02588	K03546
EBFFFBAL_02591	K03547
EBFFFBAL_02598	K04043
EBFFFBAL_02600	K00059
EBFFFBAL_02601	K09705
EBFFFBAL_02605	K12591
EBFFFBAL_02615	K15519
EBFFFBAL_02616	K01915
EBFFFBAL_02619	K03704
EBFFFBAL_02622	K11085
EBFFFBAL_02623	K18892
EBFFFBAL_02644	K03531
EBFFFBAL_02645	K03590
EBFFFBAL_02648	K01246
EBFFFBAL_02651	K02003
EBFFFBAL_02652	K02004
EBFFFBAL_02654	K07790
EBFFFBAL_02657	K01848
EBFFFBAL_02658	K02518
EBFFFBAL_02659	K03088
EBFFFBAL_02669	K00087
EBFFFBAL_02670	K02057
AJGJENBJ_00021	K01834
AJGJENBJ_00024	K00783
AJGJENBJ_00030	K00688
AJGJENBJ_00036	K22316
AJGJENBJ_00045	K20989
AJGJENBJ_00052	K17828
AJGJENBJ_00053	K02823
AJGJENBJ_00057	K04615
AJGJENBJ_00067	K03778
AJGJENBJ_00076	K01711
AJGJENBJ_00083	K00612
AJGJENBJ_00088	K03867
AJGJENBJ_00097	K03810
AJGJENBJ_00110	K01972
AJGJENBJ_00112	K10773
AJGJENBJ_00117	K14652
AJGJENBJ_00140	K04564
AJGJENBJ_00142	K03043
AJGJENBJ_00144	K03046
AJGJENBJ_00145	K02950
AJGJENBJ_00146	K02992
AJGJENBJ_00150	K01251
AJGJENBJ_00163	K15444
AJGJENBJ_00166	K06207
AJGJENBJ_00167	K02217
AJGJENBJ_00168	K03386
AJGJENBJ_00173	K06137
AJGJENBJ_00175	K14711
AJGJENBJ_00177	K06147
AJGJENBJ_00182	K02435
AJGJENBJ_00183	K13800
AJGJENBJ_00186	K02358
AJGJENBJ_00195	K03979
AJGJENBJ_00212	K03685
AJGJENBJ_00217	K02948
AJGJENBJ_00219	K03040
AJGJENBJ_00230	K01358
AJGJENBJ_00231	K00791
AJGJENBJ_00232	K00858
AJGJENBJ_00239	K03086
AJGJENBJ_00255	K01512
AJGJENBJ_00257	K01007
AJGJENBJ_00258	K00261
AJGJENBJ_00262	K01887
AJGJENBJ_00266	K02313
AJGJENBJ_00267	K03284
AJGJENBJ_00271	K22538
AJGJENBJ_00272	K02519
AJGJENBJ_00278	K03596
AJGJENBJ_00289	K01146
AJGJENBJ_00291	K03531
AJGJENBJ_00300	K03076
AJGJENBJ_00301	K02876
AJGJENBJ_00302	K02988
AJGJENBJ_00303	K02881
AJGJENBJ_00304	K02933
AJGJENBJ_00308	K02895
AJGJENBJ_00309	K02874
AJGJENBJ_00313	K02982
AJGJENBJ_00320	K08647
AJGJENBJ_00326	K14403
AJGJENBJ_00327	K00728
AJGJENBJ_00332	K01803
AJGJENBJ_00334	K01092
AJGJENBJ_00378	K02122
AJGJENBJ_00379	K02117
AJGJENBJ_00380	K02118
AJGJENBJ_00381	K02120
AJGJENBJ_00386	K01057
AJGJENBJ_00388	K19055
AJGJENBJ_00392	K02238
AJGJENBJ_00396	K09005
AJGJENBJ_00397	K06187
AJGJENBJ_00402	K09013
AJGJENBJ_00403	K09807
AJGJENBJ_00404	K09014
AJGJENBJ_00431	K00560
AJGJENBJ_00432	K07460
AJGJENBJ_00434	K02356
AJGJENBJ_00450	K14777
AJGJENBJ_00453	K01493
AJGJENBJ_00456	K12451
AJGJENBJ_00482	K13699
AJGJENBJ_00485	K11695
AJGJENBJ_00489	K08310
AJGJENBJ_00499	K00602
AJGJENBJ_00505	K00573
AJGJENBJ_00506	K00557
AJGJENBJ_00513	K03588
AJGJENBJ_00515	K12736
AJGJENBJ_00516	K01885
AJGJENBJ_00525	K05810
AJGJENBJ_00530	K07738
AJGJENBJ_00532	K02337
AJGJENBJ_00546	K00012
AJGJENBJ_00547	K08679
AJGJENBJ_00548	K00721
AJGJENBJ_00554	K00721
AJGJENBJ_00583	K06182
AJGJENBJ_00585	K21929
AJGJENBJ_00601	K01951
AJGJENBJ_00607	K09578
AJGJENBJ_00608	K00973
AJGJENBJ_00610	K03799
AJGJENBJ_00621	K00973
AJGJENBJ_00624	K01784
AJGJENBJ_00632	K03070
AJGJENBJ_00634	K01446
AJGJENBJ_00644	K01876
AJGJENBJ_00667	K01520
AJGJENBJ_00683	K07301
AJGJENBJ_00684	K18910
AJGJENBJ_00691	K03100
AJGJENBJ_00714	K06881
AJGJENBJ_00715	K00604
AJGJENBJ_00716	K03696
AJGJENBJ_00720	K04043
AJGJENBJ_00723	K00974
AJGJENBJ_00729	K00033
