locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJGJENBJ_00045	CDS	1455	sglT			Sodium/glucose cotransporter
AJGJENBJ_00046	CDS	753				hypothetical protein
AJGJENBJ_00047	CDS	276				hypothetical protein
AJGJENBJ_00048	CDS	174				hypothetical protein
AJGJENBJ_00049	CDS	831				hypothetical protein
AJGJENBJ_00050	CDS	543				hypothetical protein
AJGJENBJ_00051	CDS	1398				hypothetical protein
AJGJENBJ_00052	CDS	978	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
AJGJENBJ_00053	CDS	903	asrB		COG0543	Anaerobic sulfite reductase subunit B
AJGJENBJ_00054	CDS	255				hypothetical protein
AJGJENBJ_00055	CDS	855				hypothetical protein
AJGJENBJ_00056	CDS	882	livH		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
AJGJENBJ_00057	CDS	1152	livJ		COG0683	Leu/Ile/Val-binding protein
AJGJENBJ_00058	CDS	735	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
AJGJENBJ_00059	CDS	375				hypothetical protein
AJGJENBJ_00060	CDS	1653	pyrG	6.3.4.2		CTP synthase
AJGJENBJ_00061	CDS	189				hypothetical protein
AJGJENBJ_00062	CDS	2031	hppA1	3.6.1.1	COG3808	Putative K(+)-stimulated pyrophosphate-energized sodium pump
AJGJENBJ_00063	CDS	204				hypothetical protein
AJGJENBJ_00064	CDS	351				hypothetical protein
AJGJENBJ_00065	CDS	450				hypothetical protein
AJGJENBJ_00066	CDS	2700	valS	6.1.1.9	COG0525	Valine--tRNA ligase
AJGJENBJ_00067	CDS	939		1.1.1.81	COG0111	Hydroxypyruvate reductase
AJGJENBJ_00068	CDS	1446	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
AJGJENBJ_00069	CDS	288				hypothetical protein
AJGJENBJ_00070	CDS	156				hypothetical protein
AJGJENBJ_00071	CDS	435				hypothetical protein
AJGJENBJ_00072	CDS	1341	vanW_2		COG2720	Vancomycin B-type resistance protein VanW
AJGJENBJ_00073	CDS	1257	wbpA	1.1.1.136	COG0677	UDP-N-acetyl-D-glucosamine 6-dehydrogenase
AJGJENBJ_00074	CDS	1449				hypothetical protein
AJGJENBJ_00075	CDS	1191				hypothetical protein
AJGJENBJ_00076	CDS	1026	gmd_1	4.2.1.47	COG1089	GDP-mannose 4,6-dehydratase
AJGJENBJ_00077	CDS	1203	per_1	2.6.1.102	COG0399	GDP-perosamine synthase
AJGJENBJ_00078	CDS	831	vfr		COG0664	Cyclic AMP receptor-like protein
AJGJENBJ_00079	CDS	357				hypothetical protein
AJGJENBJ_00080	CDS	312				hypothetical protein
AJGJENBJ_00081	CDS	711	arnC	2.4.2.53	COG0463	Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
AJGJENBJ_00082	CDS	1803				hypothetical protein
AJGJENBJ_00083	CDS	1905	novN	2.1.3.12		Decarbamoylnovobiocin carbamoyltransferase
AJGJENBJ_00084	CDS	231				hypothetical protein
AJGJENBJ_00085	CDS	1155				hypothetical protein
AJGJENBJ_00086	CDS	1098	pimB_1	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
AJGJENBJ_00087	CDS	2337				hypothetical protein
AJGJENBJ_00088	CDS	1251		2.4.1.11	COG0438	Glycogen synthase
AJGJENBJ_00089	CDS	2367				hypothetical protein
AJGJENBJ_00090	CDS	738	lnt			Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase
AJGJENBJ_00091	CDS	744	ubiG	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
AJGJENBJ_00092	CDS	1125	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
AJGJENBJ_00093	CDS	1134	cpoA	2.4.1.-	COG0438	Alpha-galactosylglucosyldiacylglycerol synthase
AJGJENBJ_00094	CDS	813				hypothetical protein
AJGJENBJ_00095	CDS	663				hypothetical protein
AJGJENBJ_00096	CDS	498	fdtC	2.3.1.197		dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase
AJGJENBJ_00097	CDS	1011	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
AJGJENBJ_00098	CDS	1074	per_2	2.6.1.102	COG0399	GDP-perosamine synthase
AJGJENBJ_00099	CDS	981	gtf1	2.4.1.-		Glycosyltransferase Gtf1
AJGJENBJ_00100	CDS	1104	tuaC	2.4.-.-	COG0438	Putative teichuronic acid biosynthesis glycosyltransferase TuaC
AJGJENBJ_00101	CDS	1140	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
AJGJENBJ_00102	CDS	954	rmlB	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
AJGJENBJ_00103	CDS	1014	fda	4.1.2.13	COG3588	Fructose-bisphosphate aldolase class 1
AJGJENBJ_00104	CDS	915	ribD		COG0117	Riboflavin biosynthesis protein RibD
AJGJENBJ_00105	CDS	237				hypothetical protein
AJGJENBJ_00106	CDS	204				hypothetical protein
AJGJENBJ_00107	CDS	684	chrR	1.6.5.2	COG0431	Quinone reductase
AJGJENBJ_00108	CDS	1554				hypothetical protein
AJGJENBJ_00109	CDS	768				hypothetical protein
AJGJENBJ_00110	CDS	2130	ligA	6.5.1.2	COG0272	DNA ligase
AJGJENBJ_00111	CDS	330				hypothetical protein
AJGJENBJ_00112	CDS	633	nth	4.2.99.18	COG0177	Endonuclease III
AJGJENBJ_00113	tRNA	87				tRNA-Leu(gag)
AJGJENBJ_00114	CDS	396	nifL	2.7.13.3		Nitrogen fixation regulatory protein
AJGJENBJ_00115	CDS	414	ribH	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
AJGJENBJ_00116	CDS	1341				Surface layer protein
AJGJENBJ_00117	CDS	1209	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
AJGJENBJ_00118	CDS	474				hypothetical protein
AJGJENBJ_00119	CDS	141				hypothetical protein
AJGJENBJ_00120	CDS	348				hypothetical protein
AJGJENBJ_00121	CDS	648				hypothetical protein
AJGJENBJ_00122	CDS	318				hypothetical protein
AJGJENBJ_00123	CDS	261				hypothetical protein
AJGJENBJ_00124	CDS	555	maf		COG0424	Septum formation protein Maf
AJGJENBJ_00125	CDS	1689		3.4.21.-		putative CtpA-like serine protease
AJGJENBJ_00126	CDS	1299				hypothetical protein
AJGJENBJ_00127	tRNA	77				tRNA-His(gtg)
AJGJENBJ_00128	CDS	240				hypothetical protein
AJGJENBJ_00129	CDS	645				hypothetical protein
AJGJENBJ_00130	CDS	522				hypothetical protein
AJGJENBJ_00131	CDS	732	yfcA		COG0730	putative membrane transporter protein YfcA
AJGJENBJ_00132	CDS	333				hypothetical protein
AJGJENBJ_00133	CDS	336				hypothetical protein
AJGJENBJ_00134	CDS	1806				hypothetical protein
AJGJENBJ_00135	CDS	393				hypothetical protein
AJGJENBJ_00136	CDS	330				hypothetical protein
AJGJENBJ_00137	CDS	1182		1.1.1.38		NAD-dependent malic enzyme
AJGJENBJ_00138	CDS	210				hypothetical protein
AJGJENBJ_00139	CDS	399				hypothetical protein
AJGJENBJ_00140	CDS	597	sodA	1.15.1.1		Superoxide dismutase [Mn]
AJGJENBJ_00141	CDS	270				hypothetical protein
AJGJENBJ_00142	CDS	3933	rpoB	2.7.7.6		DNA-directed RNA polymerase subunit beta
AJGJENBJ_00143	CDS	432	ssb_1		COG0629	Single-stranded DNA-binding protein
AJGJENBJ_00144	CDS	4080	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
AJGJENBJ_00145	CDS	420	rpsL		COG0048	30S ribosomal protein S12
AJGJENBJ_00146	CDS	453	rpsG		COG0049	30S ribosomal protein S7
AJGJENBJ_00147	CDS	1080	proB	2.7.2.11	COG0263	Glutamate 5-kinase 1
AJGJENBJ_00148	CDS	864	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
AJGJENBJ_00149	CDS	1245	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
AJGJENBJ_00150	CDS	1290	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
AJGJENBJ_00151	CDS	372				hypothetical protein
AJGJENBJ_00152	CDS	612				hypothetical protein
AJGJENBJ_00153	tRNA	77				tRNA-Asp(gtc)
AJGJENBJ_00154	CDS	309	fdx		COG0633	2Fe-2S ferredoxin
AJGJENBJ_00155	CDS	756				hypothetical protein
AJGJENBJ_00156	CDS	1665	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
AJGJENBJ_00157	tRNA	90				tRNA-Ser(gga)
AJGJENBJ_00158	CDS	333				hypothetical protein
AJGJENBJ_00159	CDS	348				hypothetical protein
AJGJENBJ_00160	CDS	993				hypothetical protein
AJGJENBJ_00161	CDS	645	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
AJGJENBJ_00162	CDS	1077	pilT		COG2805	Twitching mobility protein
AJGJENBJ_00163	CDS	750		2.1.1.295		2-methyl-6-phytyl-1,4-hydroquinone methyltransferase
AJGJENBJ_00164	CDS	141				hypothetical protein
AJGJENBJ_00165	CDS	1608				hypothetical protein
AJGJENBJ_00166	CDS	1803	typA		COG1217	GTP-binding protein TypA/BipA 
AJGJENBJ_00167	CDS	492	ftnA	1.16.3.2	COG1528	Bacterial non-heme ferritin
AJGJENBJ_00168	CDS	564	ahpC	1.11.1.15		Alkyl hydroperoxide reductase C
AJGJENBJ_00169	CDS	489				hypothetical protein
AJGJENBJ_00170	tRNA	75				tRNA-Asn(gtt)
AJGJENBJ_00171	CDS	249				hypothetical protein
AJGJENBJ_00172	CDS	384				hypothetical protein
AJGJENBJ_00173	CDS	639			COG5424	PqqC-like protein
AJGJENBJ_00174	CDS	873	fic	2.7.7.-	COG3177	Adenosine monophosphate-protein transferase SoFic
AJGJENBJ_00175	CDS	756	zupT			Zinc transporter ZupT
AJGJENBJ_00176	CDS	9144				hypothetical protein
AJGJENBJ_00177	CDS	1767		3.6.3.-		Putative multidrug export ATP-binding/permease protein
AJGJENBJ_00178	CDS	312	rplU		COG0261	50S ribosomal protein L21
AJGJENBJ_00179	CDS	768				hypothetical protein
AJGJENBJ_00180	CDS	126				hypothetical protein
AJGJENBJ_00181	CDS	213				hypothetical protein
AJGJENBJ_00182	CDS	291	gatC	6.3.5.-	COG0721	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
AJGJENBJ_00183	CDS	558	adk	2.7.4.3	COG0563	Adenylate kinase
AJGJENBJ_00184	CDS	573	gmk	2.7.4.8	COG0194	Guanylate kinase
AJGJENBJ_00185	CDS	1398	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
AJGJENBJ_00186	CDS	1179	tufA		COG0050	Elongation factor Tu
AJGJENBJ_00187	CDS	438	rpsJ		COG0051	30S ribosomal protein S10
AJGJENBJ_00188	CDS	2883	uvrA			UvrABC system protein A
AJGJENBJ_00189	CDS	225				hypothetical protein
AJGJENBJ_00190	CDS	3327	nrdJ	1.17.4.1	COG0209	Vitamin B12-dependent ribonucleotide reductase
AJGJENBJ_00191	CDS	159	macB	3.6.3.-		Macrolide export ATP-binding/permease protein MacB
AJGJENBJ_00192	CDS	282				hypothetical protein
AJGJENBJ_00193	CDS	1095	yhhT_1		COG0628	Putative transport protein YhhT
AJGJENBJ_00194	CDS	924				hypothetical protein
AJGJENBJ_00195	CDS	1275	obg	3.6.5.-		GTPase Obg
AJGJENBJ_00196	CDS	1146				hypothetical protein
AJGJENBJ_00197	CDS	1230				hypothetical protein
AJGJENBJ_00198	tRNA	77				tRNA-Ala(cgc)
AJGJENBJ_00199	CDS	828				hypothetical protein
AJGJENBJ_00200	CDS	978				hypothetical protein
AJGJENBJ_00201	CDS	504				hypothetical protein
AJGJENBJ_00202	CDS	381				hypothetical protein
AJGJENBJ_00203	CDS	2547				hypothetical protein
AJGJENBJ_00204	CDS	333				hypothetical protein
AJGJENBJ_00205	CDS	1065				hypothetical protein
AJGJENBJ_00206	CDS	2778	relA		COG0317	Bifunctional (p)ppGpp synthase/hydrolase RelA
AJGJENBJ_00207	CDS	816	folP	2.5.1.15	COG0294	Dihydropteroate synthase
AJGJENBJ_00208	CDS	912				hypothetical protein
AJGJENBJ_00209	CDS	840				hypothetical protein
AJGJENBJ_00210	CDS	186				hypothetical protein
AJGJENBJ_00211	CDS	423	nusB		COG0781	Transcription antitermination protein NusB
AJGJENBJ_00212	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
AJGJENBJ_00213	CDS	363				hypothetical protein
AJGJENBJ_00214	CDS	1614	lysS	6.1.1.6	COG1384	Lysine--tRNA ligase
AJGJENBJ_00215	CDS	597				hypothetical protein
AJGJENBJ_00216	CDS	381	rpsM		COG0099	30S ribosomal protein S13
AJGJENBJ_00217	CDS	396	rpsK		COG0100	30S ribosomal protein S11
AJGJENBJ_00218	CDS	615	rpsD		COG0522	30S ribosomal protein S4
AJGJENBJ_00219	CDS	1029	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
AJGJENBJ_00220	CDS	387	rplQ			50S ribosomal protein L17
AJGJENBJ_00221	CDS	426	rplM		COG0102	50S ribosomal protein L13
AJGJENBJ_00222	CDS	399	rpsI		COG0103	30S ribosomal protein S9
AJGJENBJ_00223	CDS	354				hypothetical protein
AJGJENBJ_00224	CDS	759	map	3.4.11.18	COG0024	Methionine aminopeptidase 1
AJGJENBJ_00225	tRNA	77				tRNA-Ala(ggc)
AJGJENBJ_00226	CDS	621				hypothetical protein
AJGJENBJ_00227	CDS	423				hypothetical protein
AJGJENBJ_00228	tRNA	78				tRNA-Val(tac)
AJGJENBJ_00229	CDS	405				hypothetical protein
AJGJENBJ_00230	CDS	585	clpP	3.4.21.92	COG0740	ATP-dependent Clp protease proteolytic subunit
AJGJENBJ_00231	CDS	963	miaA	2.5.1.75	COG0324	tRNA dimethylallyltransferase
AJGJENBJ_00232	CDS	873	nadK	2.7.1.23	COG0061	NAD kinase
AJGJENBJ_00233	CDS	1008	glgM_1	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
AJGJENBJ_00234	CDS	597				hypothetical protein
AJGJENBJ_00235	CDS	279				hypothetical protein
AJGJENBJ_00236	CDS	696				hypothetical protein
AJGJENBJ_00237	CDS	612		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
AJGJENBJ_00238	CDS	3045	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
AJGJENBJ_00239	CDS	1413	sigA		COG0568	RNA polymerase sigma factor SigA
AJGJENBJ_00240	CDS	1764	dnaG	2.7.7.-	COG0358	DNA primase
AJGJENBJ_00241	CDS	258				hypothetical protein
AJGJENBJ_00242	CDS	405	acpP			Acyl carrier protein
AJGJENBJ_00243	CDS	393				hypothetical protein
AJGJENBJ_00244	CDS	2547	leuS	6.1.1.4		Leucine--tRNA ligase
AJGJENBJ_00245	CDS	1356	der			GTPase Der
AJGJENBJ_00246	CDS	624				hypothetical protein
AJGJENBJ_00247	CDS	705				hypothetical protein
AJGJENBJ_00248	CDS	321				hypothetical protein
AJGJENBJ_00249	CDS	273				hypothetical protein
AJGJENBJ_00250	CDS	435	rpsP		COG0228	30S ribosomal protein S16
AJGJENBJ_00251	CDS	318				hypothetical protein
AJGJENBJ_00252	CDS	846	glgM_2	2.4.1.342	COG0438	Alpha-maltose-1-phosphate synthase
AJGJENBJ_00253	CDS	1440	murJ		COG0728	Lipid II flippase MurJ
AJGJENBJ_00254	CDS	279				hypothetical protein
AJGJENBJ_00255	CDS	270	acyP	3.6.1.7	COG1254	Acylphosphatase
AJGJENBJ_00256	CDS	378				hypothetical protein
AJGJENBJ_00257	CDS	2424	ppsA	2.7.9.2	COG0574	Phosphoenolpyruvate synthase
AJGJENBJ_00258	CDS	1332	rocG	1.4.1.2	COG0334	Catabolic NAD-specific glutamate dehydrogenase RocG
AJGJENBJ_00259	CDS	996		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
AJGJENBJ_00260	CDS	888				hypothetical protein
AJGJENBJ_00261	CDS	210				hypothetical protein
AJGJENBJ_00262	CDS	1605	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
AJGJENBJ_00263	CDS	1380	ywsB			Cell wall-binding protein YwsB
AJGJENBJ_00264	CDS	645				hypothetical protein
AJGJENBJ_00265	CDS	1134		3.4.24.-		Putative zinc metalloprotease
AJGJENBJ_00266	CDS	1428	dnaA		COG0593	Chromosomal replication initiator protein DnaA
AJGJENBJ_00267	CDS	912	corA		COG0598	Cobalt/magnesium transport protein CorA
AJGJENBJ_00268	CDS	711				hypothetical protein
AJGJENBJ_00269	CDS	1233	eno	4.2.1.11	COG0148	Enolase
AJGJENBJ_00270	CDS	1674				hypothetical protein
AJGJENBJ_00271	CDS	684	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
AJGJENBJ_00272	CDS	2214	infB			Translation initiation factor IF-2
AJGJENBJ_00273	CDS	1221				hypothetical protein
AJGJENBJ_00274	CDS	2178				hypothetical protein
AJGJENBJ_00275	CDS	642				hypothetical protein
AJGJENBJ_00276	CDS	492	rplS		COG0335	50S ribosomal protein L19
AJGJENBJ_00277	CDS	1074				hypothetical protein
AJGJENBJ_00278	CDS	1812	lepA	3.6.5.-	COG0481	Elongation factor 4
AJGJENBJ_00279	tRNA	75				tRNA-Gly(tcc)
AJGJENBJ_00280	CDS	300	yidD		COG0759	Putative membrane protein insertion efficiency factor
AJGJENBJ_00281	CDS	321				hypothetical protein
AJGJENBJ_00282	CDS	228				hypothetical protein
AJGJENBJ_00283	CDS	1374	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
AJGJENBJ_00284	CDS	600	rnhB	3.1.26.4	COG0164	Ribonuclease HII
AJGJENBJ_00285	CDS	198	secE			Protein translocase subunit SecE
AJGJENBJ_00286	CDS	546	nusG		COG0250	Transcription termination/antitermination protein NusG
AJGJENBJ_00287	tRNA	76				tRNA-Ile(tat)
AJGJENBJ_00288	CDS	645	glgA	2.4.1.21	COG0297	Glycogen synthase
AJGJENBJ_00289	CDS	993	polA	2.7.7.7	COG0258	DNA polymerase I
AJGJENBJ_00290	CDS	1260	ftsA		COG0849	Cell division protein FtsA
AJGJENBJ_00291	CDS	1302	ftsZ		COG0206	Cell division protein FtsZ
AJGJENBJ_00292	CDS	915				hypothetical protein
AJGJENBJ_00293	CDS	858	truB	5.4.99.25	COG0130	tRNA pseudouridine synthase B
AJGJENBJ_00294	CDS	576				hypothetical protein
AJGJENBJ_00295	CDS	1191				hypothetical protein
AJGJENBJ_00296	CDS	1674				hypothetical protein
AJGJENBJ_00297	CDS	2253				hypothetical protein
AJGJENBJ_00298	CDS	336				hypothetical protein
AJGJENBJ_00299	tRNA	76				tRNA-Lys(ttt)
AJGJENBJ_00300	CDS	1248	secY		COG0201	Protein translocase subunit SecY
AJGJENBJ_00301	CDS	438	rplO		COG0200	50S ribosomal protein L15
AJGJENBJ_00302	CDS	597	rpsE		COG0098	30S ribosomal protein S5
AJGJENBJ_00303	CDS	345	rplR			50S ribosomal protein L18
AJGJENBJ_00304	CDS	552	rplF			50S ribosomal protein L6
AJGJENBJ_00305	CDS	387	rpsH		COG0096	30S ribosomal protein S8
AJGJENBJ_00306	CDS	225	rpsZ		COG0199	30S ribosomal protein S14 type Z
AJGJENBJ_00307	CDS	552	rplE		COG0094	50S ribosomal protein L5
AJGJENBJ_00308	CDS	444	rplX		COG0198	50S ribosomal protein L24
AJGJENBJ_00309	CDS	369	rplN		COG0093	50S ribosomal protein L14
AJGJENBJ_00310	CDS	312	rpsQ		COG0186	30S ribosomal protein S17
AJGJENBJ_00311	CDS	255				hypothetical protein
AJGJENBJ_00312	CDS	423	rplP		COG0197	50S ribosomal protein L16
AJGJENBJ_00313	CDS	666	rpsC		COG0092	30S ribosomal protein S3
AJGJENBJ_00314	CDS	582	rplV		COG0091	50S ribosomal protein L22
AJGJENBJ_00315	CDS	231	rpsS		COG0185	30S ribosomal protein S19
AJGJENBJ_00316	CDS	852	rplB			50S ribosomal protein L2
AJGJENBJ_00317	CDS	300	rplW		COG0089	50S ribosomal protein L23
AJGJENBJ_00318	CDS	663	rplD		COG0088	50S ribosomal protein L4
AJGJENBJ_00319	CDS	657	rplC		COG0087	50S ribosomal protein L3
AJGJENBJ_00320	CDS	1899				Pesticidal crystal protein Cry22Aa
AJGJENBJ_00321	CDS	2142				hypothetical protein
AJGJENBJ_00322	CDS	624				hypothetical protein
AJGJENBJ_00323	CDS	2943				hypothetical protein
AJGJENBJ_00324	CDS	711				hypothetical protein
AJGJENBJ_00325	CDS	387				hypothetical protein
AJGJENBJ_00326	CDS	1407		3.1.-.-	COG1236	Ribonuclease
AJGJENBJ_00327	CDS	1593	pmt	2.4.1.109	COG1928	putative dolichyl-phosphate-mannose--protein mannosyltransferase
AJGJENBJ_00328	CDS	1326				hypothetical protein
AJGJENBJ_00329	rRNA	108				5S ribosomal RNA
AJGJENBJ_00330	rRNA	3999				23S ribosomal RNA
AJGJENBJ_00331	CDS	171				hypothetical protein
AJGJENBJ_00332	CDS	738	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
AJGJENBJ_00333	CDS	777			COG0330	putative protein
AJGJENBJ_00334	CDS	786	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
AJGJENBJ_00335	CDS	813				hypothetical protein
AJGJENBJ_00336	CDS	255				hypothetical protein
AJGJENBJ_00337	CDS	240				hypothetical protein
AJGJENBJ_00338	CDS	1029	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
AJGJENBJ_00339	CDS	165				hypothetical protein
AJGJENBJ_00340	CDS	789	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
AJGJENBJ_00341	CDS	621	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
AJGJENBJ_00342	tRNA	77				tRNA-Arg(tcg)
AJGJENBJ_00343	CDS	339				hypothetical protein
AJGJENBJ_00344	CDS	195				hypothetical protein
AJGJENBJ_00345	CDS	774	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
AJGJENBJ_00346	CDS	972				hypothetical protein
AJGJENBJ_00347	CDS	726				hypothetical protein
AJGJENBJ_00348	CDS	264				hypothetical protein
AJGJENBJ_00349	CDS	417				hypothetical protein
AJGJENBJ_00350	CDS	810				hypothetical protein
AJGJENBJ_00351	CDS	1374				hypothetical protein
AJGJENBJ_00352	tmRNA	406	ssrA			transfer-messenger RNA, SsrA
AJGJENBJ_00353	CDS	786				hypothetical protein
AJGJENBJ_00354	CDS	1497				hypothetical protein
AJGJENBJ_00355	CDS	321				hypothetical protein
AJGJENBJ_00356	CDS	1608				hypothetical protein
AJGJENBJ_00357	CDS	1362				hypothetical protein
AJGJENBJ_00358	CDS	270				hypothetical protein
AJGJENBJ_00359	CDS	297	yafQ	3.1.-.-	COG3041	mRNA interferase toxin YafQ
AJGJENBJ_00360	CDS	1032	iolE	4.2.1.44		Inosose dehydratase
AJGJENBJ_00361	CDS	345				hypothetical protein
AJGJENBJ_00362	CDS	219				hypothetical protein
AJGJENBJ_00363	CDS	1881	mdtA			Multidrug resistance protein MdtA
AJGJENBJ_00364	CDS	3141	cusA		COG3696	Cation efflux system protein CusA
AJGJENBJ_00365	CDS	1104				hypothetical protein
AJGJENBJ_00366	CDS	648				hypothetical protein
AJGJENBJ_00367	CDS	1752				hypothetical protein
AJGJENBJ_00368	CDS	438				hypothetical protein
AJGJENBJ_00369	CDS	933				hypothetical protein
AJGJENBJ_00370	CDS	237				hypothetical protein
AJGJENBJ_00371	CDS	1062	dnaJ		COG0484	Chaperone protein DnaJ
AJGJENBJ_00372	CDS	387				hypothetical protein
AJGJENBJ_00373	CDS	327				hypothetical protein
AJGJENBJ_00374	CDS	1947				hypothetical protein
AJGJENBJ_00375	CDS	525	ntpK			V-type sodium ATPase subunit K
AJGJENBJ_00376	CDS	489	atpE			V-type proton ATPase subunit E
AJGJENBJ_00377	CDS	783				hypothetical protein
AJGJENBJ_00378	CDS	327	ntpG			V-type sodium ATPase subunit G
AJGJENBJ_00379	CDS	1761	ntpA	3.6.3.15		V-type sodium ATPase catalytic subunit A
AJGJENBJ_00380	CDS	1386	ntpB			V-type sodium ATPase subunit B
AJGJENBJ_00381	CDS	627	ntpD			V-type sodium ATPase subunit D
AJGJENBJ_00382	CDS	336				hypothetical protein
AJGJENBJ_00383	CDS	354	rplT		COG0292	50S ribosomal protein L20
