locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBFFFBAL_00040	CDS	1152	patB	4.4.1.8	COG1168	Cystathionine beta-lyase PatB
EBFFFBAL_00041	CDS	567				hypothetical protein
EBFFFBAL_00042	CDS	1656	atpA	3.6.3.14	COG0056	ATP synthase subunit alpha
EBFFFBAL_00043	CDS	897	atpG		COG0224	ATP synthase gamma chain
EBFFFBAL_00044	CDS	1401	atpD	3.6.3.15		ATP synthase subunit beta, sodium ion specific
EBFFFBAL_00045	CDS	456	atpC		COG0355	ATP synthase epsilon chain
EBFFFBAL_00046	CDS	1014	mreB_1		COG1077	Rod shape-determining protein MreB
EBFFFBAL_00047	CDS	618	rex		COG2344	Redox-sensing transcriptional repressor Rex
EBFFFBAL_00048	CDS	1263	obg	3.6.5.-	COG0536	GTPase Obg
EBFFFBAL_00049	CDS	606	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
EBFFFBAL_00050	CDS	1155	fsr			Fosmidomycin resistance protein
EBFFFBAL_00051	CDS	663	rnhB	3.1.26.4	COG0164	Ribonuclease HII
EBFFFBAL_00052	CDS	732		2.4.-.-		putative glycosyltransferase
EBFFFBAL_00053	CDS	759				hypothetical protein
EBFFFBAL_00054	CDS	192				hypothetical protein
EBFFFBAL_00055	CDS	1059	trpS2	6.1.1.2	COG0180	Tryptophan--tRNA ligase 2
EBFFFBAL_00056	CDS	444	dtd	3.1.1.96	COG1490	D-aminoacyl-tRNA deacylase
EBFFFBAL_00057	CDS	876	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
EBFFFBAL_00058	CDS	894	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
EBFFFBAL_00059	CDS	177				hypothetical protein
EBFFFBAL_00060	CDS	252				hypothetical protein
EBFFFBAL_00061	CDS	1101				hypothetical protein
EBFFFBAL_00062	CDS	1278				hypothetical protein
EBFFFBAL_00063	CDS	138				hypothetical protein
EBFFFBAL_00064	CDS	624	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
EBFFFBAL_00065	CDS	627				hypothetical protein
EBFFFBAL_00066	CDS	375				hypothetical protein
EBFFFBAL_00067	CDS	1647	pyrG	6.3.4.2		CTP synthase
EBFFFBAL_00068	CDS	1296	eno	4.2.1.11	COG0148	Enolase
EBFFFBAL_00069	CDS	402	erpA		COG0316	Iron-sulfur cluster insertion protein ErpA
EBFFFBAL_00070	CDS	1530	hutH	4.3.1.3	COG2986	Histidine ammonia-lyase
EBFFFBAL_00071	CDS	708				hypothetical protein
EBFFFBAL_00072	CDS	783				hypothetical protein
EBFFFBAL_00073	CDS	453	smpB		COG0691	SsrA-binding protein
EBFFFBAL_00074	CDS	2535				hypothetical protein
EBFFFBAL_00075	CDS	5238	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
EBFFFBAL_00076	CDS	327				hypothetical protein
EBFFFBAL_00077	CDS	720			COG0463	putative protein
EBFFFBAL_00078	CDS	2895	uvrA			UvrABC system protein A
EBFFFBAL_00079	CDS	318				hypothetical protein
EBFFFBAL_00080	CDS	687				hypothetical protein
EBFFFBAL_00081	CDS	735				hypothetical protein
EBFFFBAL_00082	CDS	1650	rnjA	3.1.-.-	COG0595	Ribonuclease J1
EBFFFBAL_00083	CDS	705	sle1_1	3.5.1.28	COG1388	N-acetylmuramoyl-L-alanine amidase sle1
EBFFFBAL_00084	CDS	948				hypothetical protein
EBFFFBAL_00085	CDS	1632	groL			60 kDa chaperonin
EBFFFBAL_00086	CDS	288	groS		COG0234	10 kDa chaperonin
EBFFFBAL_00087	CDS	1293	lapB			Lipopolysaccharide assembly protein B
EBFFFBAL_00088	CDS	1281	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
EBFFFBAL_00089	tRNA	73				tRNA-Met(cat)
EBFFFBAL_00090	tRNA	72				tRNA-Gly(tcc)
EBFFFBAL_00091	CDS	660		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
EBFFFBAL_00092	CDS	804	btuD	3.6.3.33		Vitamin B12 import ATP-binding protein BtuD
EBFFFBAL_00093	CDS	936	lipA	2.8.1.8		Lipoyl synthase
EBFFFBAL_00094	CDS	1452	nuoN_2	1.6.5.11	COG1007	NADH-quinone oxidoreductase subunit N
EBFFFBAL_00095	CDS	1524	nuoM_2	1.6.5.11	COG1008	NADH-quinone oxidoreductase subunit M
EBFFFBAL_00096	CDS	2139	nuoL_2	1.6.5.11	COG1009	NADH-quinone oxidoreductase subunit L
EBFFFBAL_00097	CDS	303		1.6.5.11	COG0713	NADH-quinone oxidoreductase subunit 11
EBFFFBAL_00098	CDS	510	nuoJ_2	1.6.5.11	COG0839	NADH-quinone oxidoreductase subunit J
EBFFFBAL_00099	CDS	525	nuoI_1	1.6.5.11	COG1143	NADH-quinone oxidoreductase subunit I
EBFFFBAL_00100	CDS	1014	nuoH	1.6.5.11	COG1005	NADH-quinone oxidoreductase subunit H
EBFFFBAL_00101	CDS	2514	nqo3	1.6.5.11	COG1034	NADH-quinone oxidoreductase subunit 3
EBFFFBAL_00102	CDS	1263	nuoF	1.6.5.11	COG1894	NADH-quinone oxidoreductase subunit F
EBFFFBAL_00103	CDS	504	nqo2	1.6.5.11	COG1905	NADH-quinone oxidoreductase subunit 2
EBFFFBAL_00104	CDS	1236	nqo4	1.6.5.11	COG0649	NADH-quinone oxidoreductase subunit 4
EBFFFBAL_00105	CDS	513	nuoC_1	1.6.5.11	COG0852	NADH-quinone oxidoreductase subunit C
EBFFFBAL_00106	CDS	483	nqo6	1.6.5.11	COG0377	NADH-quinone oxidoreductase subunit 6
EBFFFBAL_00107	CDS	384	nuoA	1.6.5.11	COG0838	NADH-quinone oxidoreductase subunit A
EBFFFBAL_00108	CDS	1482	malQ	2.4.1.25	COG1640	4-alpha-glucanotransferase
EBFFFBAL_00109	CDS	2145	iolG	1.1.1.18	COG0673	Myo-inositol 2-dehydrogenase
EBFFFBAL_00110	CDS	1104		3.4.11.-		Aminopeptidase 2
EBFFFBAL_00111	CDS	531				hypothetical protein
EBFFFBAL_00112	CDS	2160	glgP	2.4.1.1	COG0058	Glycogen phosphorylase
EBFFFBAL_00113	CDS	1947	dnaG	2.7.7.-	COG0358	DNA primase
EBFFFBAL_00114	CDS	1479	sigA_1		COG0568	RNA polymerase sigma factor SigA
EBFFFBAL_00115	CDS	975				hypothetical protein
EBFFFBAL_00116	CDS	342	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
EBFFFBAL_00117	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
EBFFFBAL_00118	CDS	552				hypothetical protein
EBFFFBAL_00119	CDS	1722				hypothetical protein
EBFFFBAL_00120	CDS	765				hypothetical protein
EBFFFBAL_00121	CDS	453				hypothetical protein
EBFFFBAL_00122	CDS	984				hypothetical protein
EBFFFBAL_00123	CDS	423	ssb_1		COG0629	Single-stranded DNA-binding protein
EBFFFBAL_00124	CDS	351				hypothetical protein
EBFFFBAL_00125	CDS	642				hypothetical protein
EBFFFBAL_00126	CDS	231				hypothetical protein
EBFFFBAL_00127	CDS	513				hypothetical protein
EBFFFBAL_00128	CDS	876	ppnK	2.7.1.23	COG0061	NAD kinase
EBFFFBAL_00129	CDS	516				hypothetical protein
EBFFFBAL_00130	CDS	1725	recN		COG0497	DNA repair protein RecN
EBFFFBAL_00131	CDS	2829				hypothetical protein
EBFFFBAL_00132	CDS	1011				putative epimerase/dehydratase
EBFFFBAL_00133	CDS	1911	fhs	6.3.4.3	COG2759	Formate--tetrahydrofolate ligase
EBFFFBAL_00134	CDS	702	lexA_1	3.4.21.88		LexA repressor
EBFFFBAL_00135	CDS	642	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
EBFFFBAL_00136	CDS	750	menG_1	2.1.1.163		Demethylmenaquinone methyltransferase
EBFFFBAL_00137	CDS	888	yhdJ_1	2.1.1.72	COG0863	DNA adenine methyltransferase YhdJ
EBFFFBAL_00138	CDS	300				hypothetical protein
EBFFFBAL_00139	CDS	561	fas6	3.2.2.-		Cytokinin riboside 5'-monophosphate phosphoribohydrolase
EBFFFBAL_00140	CDS	804				hypothetical protein
EBFFFBAL_00141	CDS	264	rpsO			30S ribosomal protein S15
EBFFFBAL_00142	CDS	2205	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
EBFFFBAL_00143	tRNA	75				tRNA-Pro(cgg)
EBFFFBAL_00144	CDS	1245	celH	3.2.1.4	COG2730	Endoglucanase H
EBFFFBAL_00145	CDS	573				hypothetical protein
EBFFFBAL_00146	CDS	1215				hypothetical protein
EBFFFBAL_00147	CDS	1059				hypothetical protein
EBFFFBAL_00148	CDS	210	cspLA_1		COG1278	Cold shock-like protein CspLA
EBFFFBAL_00149	CDS	777	nfrA1	1.5.1.38	COG0778	FMN reductase (NADPH)
EBFFFBAL_00150	CDS	702				hypothetical protein
EBFFFBAL_00151	CDS	426				hypothetical protein
EBFFFBAL_00152	CDS	2007				hypothetical protein
EBFFFBAL_00153	CDS	1161	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
EBFFFBAL_00154	CDS	903	cbpA		COG2214	Curved DNA-binding protein
EBFFFBAL_00155	CDS	1947	phoR	2.7.13.3	COG0642	Alkaline phosphatase synthesis sensor protein PhoR
EBFFFBAL_00156	CDS	870				hypothetical protein
EBFFFBAL_00157	CDS	306				hypothetical protein
EBFFFBAL_00158	tRNA	75				tRNA-Arg(gcg)
EBFFFBAL_00159	CDS	561				hypothetical protein
EBFFFBAL_00160	CDS	1248				hypothetical protein
EBFFFBAL_00161	CDS	1383	tagT_1	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagT
EBFFFBAL_00162	CDS	807	surE_1	3.1.3.5	COG0496	5'-nucleotidase SurE
EBFFFBAL_00163	CDS	771	suhB_1	3.1.3.25	COG0483	Inositol-1-monophosphatase
EBFFFBAL_00164	CDS	636	yedJ		COG1418	putative protein YedJ
EBFFFBAL_00165	CDS	189				hypothetical protein
EBFFFBAL_00166	CDS	1266	hutI	3.5.2.7	COG1228	Imidazolonepropionase
EBFFFBAL_00167	CDS	372				hypothetical protein
EBFFFBAL_00168	CDS	723	ppm1_1	2.4.1.-		Polyprenol monophosphomannose synthase
EBFFFBAL_00169	CDS	831	rsmA	2.1.1.182		Ribosomal RNA small subunit methyltransferase A
EBFFFBAL_00170	CDS	900				hypothetical protein
EBFFFBAL_00171	CDS	825				hypothetical protein
EBFFFBAL_00172	CDS	1713	petB			Cytochrome b6
EBFFFBAL_00173	CDS	579	petC_1	1.10.9.1		Cytochrome b6-f complex iron-sulfur subunit
EBFFFBAL_00174	CDS	387				hypothetical protein
EBFFFBAL_00175	CDS	435				hypothetical protein
EBFFFBAL_00176	CDS	1551	pccB	6.4.1.3	COG4799	Propionyl-CoA carboxylase beta chain
EBFFFBAL_00177	CDS	1518	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
EBFFFBAL_00178	CDS	510	gcdC	4.1.1.70	COG0511	Glutaconyl-CoA decarboxylase subunit gamma
EBFFFBAL_00179	CDS	621				hypothetical protein
EBFFFBAL_00180	CDS	819	murI	5.1.1.3	COG0796	Glutamate racemase
EBFFFBAL_00181	CDS	351	rplS		COG0335	50S ribosomal protein L19
EBFFFBAL_00182	CDS	648	argO		COG1279	Arginine exporter protein ArgO
EBFFFBAL_00183	CDS	846	mca_1	3.5.1.115	COG2120	Mycothiol S-conjugate amidase
EBFFFBAL_00184	CDS	1149	moeZ		COG0476	putative adenylyltransferase/sulfurtransferase MoeZ
EBFFFBAL_00185	CDS	420				hypothetical protein
EBFFFBAL_00186	CDS	738	cysO_1		COG1977	Sulfur carrier protein CysO
EBFFFBAL_00187	CDS	444				hypothetical protein
EBFFFBAL_00188	CDS	945	cysM	2.5.1.47	COG0031	Cysteine synthase B
EBFFFBAL_00189	CDS	918	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
EBFFFBAL_00190	CDS	900				hypothetical protein
EBFFFBAL_00191	CDS	768	kdsB	2.7.7.38		3-deoxy-manno-octulosonate cytidylyltransferase
EBFFFBAL_00192	CDS	525	bcrC	3.6.1.27	COG0671	Undecaprenyl-diphosphatase BcrC
EBFFFBAL_00193	CDS	1056				hypothetical protein
EBFFFBAL_00194	CDS	1350				hypothetical protein
EBFFFBAL_00195	CDS	1002	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
EBFFFBAL_00196	CDS	3576	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
EBFFFBAL_00197	CDS	1335				hypothetical protein
EBFFFBAL_00198	CDS	396				hypothetical protein
EBFFFBAL_00199	CDS	1308	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
EBFFFBAL_00200	CDS	1200				hypothetical protein
EBFFFBAL_00201	CDS	390				hypothetical protein
EBFFFBAL_00202	CDS	597	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
EBFFFBAL_00203	CDS	1851	typA		COG1217	GTP-binding protein TypA/BipA
EBFFFBAL_00204	CDS	1284	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
EBFFFBAL_00205	CDS	1212	gudP			putative glucarate transporter
EBFFFBAL_00206	CDS	1395		4.1.2.27	COG0076	putative sphingosine-1-phosphate lyase
EBFFFBAL_00207	CDS	1407				hypothetical protein
EBFFFBAL_00208	CDS	201				hypothetical protein
EBFFFBAL_00209	CDS	207				hypothetical protein
EBFFFBAL_00210	CDS	246				hypothetical protein
EBFFFBAL_00211	CDS	1230	ybdG		COG0668	Miniconductance mechanosensitive channel YbdG
EBFFFBAL_00212	CDS	3924	prkC_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
EBFFFBAL_00213	CDS	1266	rsbU_1	3.1.3.3	COG2208	Phosphoserine phosphatase RsbU
EBFFFBAL_00214	CDS	978				hypothetical protein
EBFFFBAL_00215	CDS	1071	mmpA	3.4.24.-	COG0750	Metalloprotease MmpA
EBFFFBAL_00216	CDS	1020				hypothetical protein
EBFFFBAL_00217	CDS	921				hypothetical protein
EBFFFBAL_00218	CDS	1218				hypothetical protein
EBFFFBAL_00219	CDS	294	acyP	3.6.1.7	COG1254	Acylphosphatase
EBFFFBAL_00220	CDS	774	mepM_1	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
EBFFFBAL_00221	CDS	705				hypothetical protein
EBFFFBAL_00222	CDS	2412	slt	4.2.2.-	COG0741	Soluble lytic murein transglycosylase
EBFFFBAL_00223	CDS	1695	appA_1			Oligopeptide-binding protein AppA
EBFFFBAL_00224	CDS	225	secG		COG1314	putative protein-export membrane protein SecG
EBFFFBAL_00225	CDS	1062				hypothetical protein
EBFFFBAL_00226	CDS	939				hypothetical protein
EBFFFBAL_00227	CDS	753				hypothetical protein
EBFFFBAL_00228	CDS	435				hypothetical protein
EBFFFBAL_00229	CDS	438				hypothetical protein
EBFFFBAL_00230	CDS	420				hypothetical protein
EBFFFBAL_00231	CDS	195				hypothetical protein
EBFFFBAL_00232	CDS	810	pip_1	3.4.11.5		Proline iminopeptidase
EBFFFBAL_00233	CDS	381				hypothetical protein
EBFFFBAL_00234	CDS	258				hypothetical protein
EBFFFBAL_00235	CDS	1359	trzA	3.8.1.-		S-triazine hydrolase
EBFFFBAL_00236	CDS	801	suhB_2	3.1.3.25	COG0483	Inositol-1-monophosphatase
EBFFFBAL_00237	CDS	1764	rqkA	2.7.11.1	COG0515	DNA damage-responsive serine/threonine-protein kinase RqkA
EBFFFBAL_00238	CDS	990	prpC_1	3.1.3.16	COG0631	Protein phosphatase PrpC
EBFFFBAL_00239	CDS	720	ubiG_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase
EBFFFBAL_00240	CDS	792	recO		COG1381	DNA repair protein RecO
EBFFFBAL_00241	CDS	552				hypothetical protein
EBFFFBAL_00242	CDS	879				hypothetical protein
EBFFFBAL_00243	CDS	1173	per	2.6.1.102	COG0399	GDP-perosamine synthase
EBFFFBAL_00244	CDS	822				hypothetical protein
EBFFFBAL_00245	CDS	918				hypothetical protein
EBFFFBAL_00246	CDS	966	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
EBFFFBAL_00247	CDS	1863	yitJ_1		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
EBFFFBAL_00248	CDS	1974				hypothetical protein
EBFFFBAL_00249	CDS	1938				hypothetical protein
EBFFFBAL_00250	CDS	3519	metH_1	2.1.1.13	COG0646	Methionine synthase
EBFFFBAL_00251	CDS	1425	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
EBFFFBAL_00252	CDS	1290				hypothetical protein
EBFFFBAL_00253	CDS	1716	lacF_1			Lactose transport system permease protein LacF
EBFFFBAL_00254	CDS	876	lacG			Lactose transport system permease protein LacG
EBFFFBAL_00255	CDS	1422				hypothetical protein
EBFFFBAL_00256	CDS	93				hypothetical protein
EBFFFBAL_00257	CDS	1116				hypothetical protein
EBFFFBAL_00258	CDS	1146	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
EBFFFBAL_00259	CDS	945	rnz	3.1.26.11	COG1234	Ribonuclease Z
EBFFFBAL_00260	CDS	1044	mshD_1	2.3.1.189		Mycothiol acetyltransferase
EBFFFBAL_00261	CDS	165				hypothetical protein
EBFFFBAL_00262	CDS	519				hypothetical protein
EBFFFBAL_00263	CDS	603				hypothetical protein
EBFFFBAL_00264	CDS	1176				hypothetical protein
EBFFFBAL_00265	CDS	147				hypothetical protein
EBFFFBAL_00266	CDS	753	zraR		COG2204	Transcriptional regulatory protein ZraR
EBFFFBAL_00267	CDS	714	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
EBFFFBAL_00268	CDS	606	plsY_1	2.3.1.-	COG0344	Glycerol-3-phosphate acyltransferase
EBFFFBAL_00269	CDS	2409	bfmBAB_1	1.2.4.4	COG0022	2-oxoisovalerate dehydrogenase subunit beta
EBFFFBAL_00270	CDS	621	mobA	2.7.7.77	COG0746	putative molybdenum cofactor guanylyltransferase
EBFFFBAL_00271	CDS	1662	fdhF_1	1.17.1.9	COG0243	Formate dehydrogenase H
EBFFFBAL_00272	CDS	1092	sfrA	1.-.-.-	COG3383	NADPH-Fe(3+) oxidoreductase subunit alpha
EBFFFBAL_00273	CDS	1887	hndC_1	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
EBFFFBAL_00274	CDS	450	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
EBFFFBAL_00275	CDS	108				hypothetical protein
EBFFFBAL_00276	CDS	1602	pat	2.3.1.-	COG0454	Protein lysine acetyltransferase Pat
EBFFFBAL_00277	CDS	1200				hypothetical protein
EBFFFBAL_00278	CDS	813				hypothetical protein
EBFFFBAL_00279	CDS	1125	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
EBFFFBAL_00280	CDS	933	ydjH	2.7.1.-	COG0524	putative sugar kinase YdjH
EBFFFBAL_00281	CDS	1164	hemE	4.1.1.37		Uroporphyrinogen decarboxylase
EBFFFBAL_00282	CDS	789	yvoA_1		COG2188	HTH-type transcriptional repressor YvoA
EBFFFBAL_00283	CDS	687				hypothetical protein
EBFFFBAL_00284	CDS	225				hypothetical protein
EBFFFBAL_00285	CDS	864	ecfA2_1	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
EBFFFBAL_00286	CDS	843	ecfA2_2	3.6.3.-	COG1122	Energy-coupling factor transporter ATP-binding protein EcfA2
EBFFFBAL_00287	CDS	891	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
EBFFFBAL_00288	CDS	756	udp_1	2.4.2.3	COG2820	Uridine phosphorylase
EBFFFBAL_00289	CDS	750	udp_2	2.4.2.3	COG2820	Uridine phosphorylase
EBFFFBAL_00290	CDS	786	udp_3	2.4.2.3	COG2820	Uridine phosphorylase
EBFFFBAL_00291	CDS	1275				hypothetical protein
EBFFFBAL_00292	CDS	369				hypothetical protein
EBFFFBAL_00293	CDS	591				hypothetical protein
EBFFFBAL_00294	CDS	528				hypothetical protein
EBFFFBAL_00295	CDS	1350	tetA_1			Tetracycline resistance protein, class B
EBFFFBAL_00296	CDS	366				hypothetical protein
EBFFFBAL_00297	CDS	1107	mepM_2	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
EBFFFBAL_00298	CDS	180				hypothetical protein
EBFFFBAL_00299	CDS	1053	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
EBFFFBAL_00300	CDS	732	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
EBFFFBAL_00301	CDS	555	cobU	2.7.1.156	COG2087	Bifunctional adenosylcobalamin biosynthesis protein CobU
EBFFFBAL_00302	CDS	609	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
EBFFFBAL_00303	CDS	1503	cobQ			Cobyric acid synthase
EBFFFBAL_00304	CDS	207				hypothetical protein
EBFFFBAL_00305	CDS	411				hypothetical protein
EBFFFBAL_00306	CDS	435				hypothetical protein
EBFFFBAL_00307	CDS	603	sutR		COG1396	HTH-type transcriptional regulator SutR
EBFFFBAL_00308	CDS	969	deoR		COG2390	Deoxyribonucleoside regulator
EBFFFBAL_00309	CDS	1506	glpK	2.7.1.30	COG0554	Glycerol kinase
EBFFFBAL_00310	CDS	1743	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
EBFFFBAL_00311	CDS	279				hypothetical protein
EBFFFBAL_00312	CDS	1284			COG4962	Putative conjugal transfer protein
EBFFFBAL_00313	CDS	1266	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase
EBFFFBAL_00314	CDS	396				hypothetical protein
EBFFFBAL_00315	CDS	603	ydaF_1	2.3.1.-	COG1670	Putative ribosomal N-acetyltransferase YdaF
EBFFFBAL_00316	CDS	1434	dnaA		COG0593	Chromosomal replication initiator protein DnaA
EBFFFBAL_00317	CDS	2640	dhbF		COG1020	Dimodular nonribosomal peptide synthase
EBFFFBAL_00318	CDS	279				hypothetical protein
EBFFFBAL_00319	CDS	495	rnhA	3.1.26.4	COG0328	Ribonuclease HI
EBFFFBAL_00320	CDS	1227	pksS	1.14.-.-	COG2124	Polyketide biosynthesis cytochrome P450 PksS
EBFFFBAL_00321	CDS	636	mfpA		COG1357	Pentapeptide repeat protein MfpA
EBFFFBAL_00322	CDS	1527				hypothetical protein
EBFFFBAL_00323	CDS	1833				hypothetical protein
EBFFFBAL_00324	CDS	1008		2.4.1.54		Undecaprenyl-phosphate mannosyltransferase
EBFFFBAL_00325	tRNA	76				tRNA-Cys(gca)
EBFFFBAL_00326	tRNA	74				tRNA-Gly(gcc)
EBFFFBAL_00327	tRNA	74				tRNA-Phe(gaa)
EBFFFBAL_00328	CDS	1107	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
EBFFFBAL_00329	CDS	804				hypothetical protein
EBFFFBAL_00330	CDS	996	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
EBFFFBAL_00331	CDS	1416	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
EBFFFBAL_00332	CDS	1800	spoVD		COG0768	Stage V sporulation protein D
EBFFFBAL_00333	CDS	489				hypothetical protein
EBFFFBAL_00334	CDS	945	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
EBFFFBAL_00335	CDS	444	mraZ			Transcriptional regulator MraZ
EBFFFBAL_00336	CDS	147				hypothetical protein
EBFFFBAL_00337	CDS	1413	sufS_2	2.8.1.7	COG0520	Cysteine desulfurase
EBFFFBAL_00338	CDS	393				DNA base-flipping protein
EBFFFBAL_00339	CDS	495				hypothetical protein
EBFFFBAL_00340	CDS	828	lipM	2.3.1.181	COG0095	Octanoyltransferase LipM
EBFFFBAL_00341	CDS	909	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
